Timestamp,Power (w/kg),Form Power (w/kg),Air Power (w/kg),Watch Speed (m/s),Stryd Speed (m/s),Watch Distance (meters),Stryd Distance (meters),Stiffness,Stiffness/kg,Ground Time (ms),Cadence (spm),Vertical Oscillation (cm),Watch Elevation (m),Stryd Elevation (m),Ground Time Balance,Vertical Oscillation Balance,Leg Spring Stiffness Balance,Impact Loading Rate Balance,Vertical Ratio
1742997572,0,0,0,1.465,0,0,0,0,0,0,118,0,41.8,35,0,0,0,0,0
1742997573,1.3943661971830985,0.36619718309859156,0,0,1.78125,1.2,1.78125,0,0,994,112,0,41.6,35,0,0,0,0,0
1742997574,1.6338028169014085,0.36619718309859156,0,1.334,1.78125,2.7,3.5625,0,0,824,112,0,42.4,35,0,0,0,0,0
1742997575,1.6338028169014085,0.36619718309859156,0,1.334,1.78125,4.62,5.34375,0,0,824,112,0,50.4,35,0,0,0,0,0
1742997576,2.5211267605633805,0.36619718309859156,0,1.987,2.85547,7.15,8.19922,0,0,824,112,0,56.2,35,0,0,0,0,0
1742997577,2.5211267605633805,0.36619718309859156,0,2.743,2.85547,9.6,11.05469,0,0,824,112,0,60.6,35,0,0,0,0,0
1742997578,2.5211267605633805,0.36619718309859156,0,2.902,2.85547,13.05,13.91016,0,0,824,112,0,64,35,0,0,0,0,0
1742997579,2.5211267605633805,0.36619718309859156,0,2.976,2.85547,17.6,16.76563,0,0,824,112,0,66.6,35,0,0,0,0,0
1742997580,2.5211267605633805,0.36619718309859156,0,3.107,2.85547,21.43,19.62109,0,0,824,112,0,66.6,35,0,0,0,0,0
1742997581,2.5211267605633805,0.36619718309859156,0,3.107,2.85547,26.55,22.47656,0,0,824,112,0,65.4,35,0,0,0,0,0
1742997582,2.5211267605633805,0.36619718309859156,0,3.107,2.85547,30.22,25.33203,0,0,824,112,0,63.4,35,0,0,0,0,0
1742997583,2.5211267605633805,0.36619718309859156,0,3.004,2.85547,34.25,28.1875,0,0,824,112,0,61.4,35,0,0,0,0,0
1742997584,2.5211267605633805,0.36619718309859156,0,3.004,2.85547,38.49,31.04297,0,0,824,112,0,59,35,0,0,0,0,0
1742997585,2.5211267605633805,0.36619718309859156,0,3.088,2.85547,42.6,33.89844,0,0,824,112,0,56.8,35,0,0,0,0,0
1742997586,2.5211267605633805,0.36619718309859156,0,3.107,2.85547,47,36.75391,0,0,824,112,0,54.8,35,0,0,0,0,0
1742997587,2.5211267605633805,0.36619718309859156,0,3.172,2.85547,50.04,39.60938,0,0,824,112,0,53,35,0,0,0,0,0
1742997588,2.5211267605633805,0.36619718309859156,0,3.21,2.85547,53.33,42.46484,0,0,824,112,0,51.4,35,0,0,0,0,0
1742997589,2.5211267605633805,0.36619718309859156,0,3.256,2.85547,56.48,45.32031,0,0,824,112,0,47.2,35,0,0,0,0,0
1742997590,2.5211267605633805,0.36619718309859156,0,3.256,2.85547,59.56,48.17578,0,0,824,112,0,43.2,35,0,0,0,0,0
1742997591,2.5211267605633805,0.36619718309859156,0,3.256,2.85547,64.22,51.03125,0,0,824,112,0,39.4,35,0,0,0,0,0
1742997592,2.5211267605633805,0.36619718309859156,0,3.256,2.85547,67.94,53.88672,0,0,824,112,0,36,35,0,0,0,0,0
1742997593,2.5211267605633805,0.36619718309859156,0,3.256,2.85547,70.33,56.74219,0,0,824,112,0,33,35,0,0,0,0,0
1742997594,2.5211267605633805,0.36619718309859156,0,3.266,2.85547,73.24,59.59766,0,0,824,112,0,30.6,35,0,0,0,0,0
1742997595,2.5211267605633805,0.36619718309859156,0,3.266,2.85547,76.45,62.45313,0,0,824,112,0,28.2,35,0,0,0,0,0
1742997596,2.5211267605633805,0.36619718309859156,0,3.256,2.85547,78.45,65.30859,0,0,824,112,0,26.2,35,0,0,0,0,0
1742997597,2.5211267605633805,0.36619718309859156,0,3.247,2.85547,80.04,68.16406,0,0,824,112,0,24.8,35,0,0,0,0,0
1742997598,2.5211267605633805,0.36619718309859156,0,3.247,2.85547,83.2,71.01953,0,0,824,112,0,23.8,35,0,0,0,0,0
1742997599,2.5211267605633805,0.36619718309859156,0,3.238,2.85547,86.25,71.01953,0,0,824,112,0,23,35,0,0,0,0,0
1742997600,2.5211267605633805,0.36619718309859156,0,3.228,2.85547,89.09,76.73047,0,0,824,112,0,22.8,35,0,0,0,0,0
1742997601,2.5211267605633805,0.36619718309859156,0,3.219,2.85547,92.13,79.58594,0,0,824,112,0,23,35,0,0,0,0,0
1742997602,2.5211267605633805,0.36619718309859156,0,3.2,2.85547,95.71,82.44141,0,0,824,112,0,23.2,35,0,0,0,0,0
1742997603,2.5211267605633805,0.36619718309859156,0,3.182,2.85547,98.72,85.29688,0,0,824,112,0,23.4,35,0,0,0,0,0
1742997604,3.267605633802817,0.36619718309859156,0,3.163,3.02734,102.83,88.32422,0,0,824,112,0,24,34,0,0,0,0,0
1742997605,3.267605633802817,0.36619718309859156,0,3.154,3.03906,105.62,91.36328,0,0,824,112,0,24.4,34,0,0,0,0,0
1742997606,3.2535211267605635,0.36619718309859156,0,3.144,3.03906,109.4,94.40234,0,0,258,112,0,25,34,0,0,0,0,0
1742997607,3.23943661971831,0.36619718309859156,0,3.135,3.05078,113.27,97.45313,0,0,258,112,0,25.6,34,0,0,0,0,0
1742997608,3.23943661971831,0.36619718309859156,0,3.116,3.05078,117.28,100.50391,0,0,256,112,0,26,34,0,0,0,0,0
1742997609,3.23943661971831,0.36619718309859156,0,3.126,3.05859,121.84,103.5625,0,0,256,112,0,26.4,34,0,0,0,0,0
1742997610,3.23943661971831,0.36619718309859156,0,3.144,3.05859,124.98,106.62109,0,0,256,112,0,26.6,34,0,0,0,0,0
1742997611,3.1549295774647885,0.36619718309859156,0,3.172,3.05859,128.89,109.67969,0,0,262,112,0,26.8,34,0,0,0,0,0
1742997612,3.1549295774647885,1,0,3.182,3.05859,132.94,112.73828,10.125,0.1426056338028169,262,168,7.25,26.8,34,0,0,0,0,6.379627429758102
1742997613,3.140845070422535,1,0,3.182,2.94531,136.72,115.68359,10.25,0.1443661971830986,262,168,7.125,26.8,34,0,0,0,0,6.269633853382962
1742997614,3.140845070422535,1,0,3.191,2.94531,139.25,118.62891,10.25,0.1443661971830986,262,168,7.125,26.6,34,0,0,0,0,6.251974307676108
1742997615,3.140845070422535,1,0,3.191,2.94531,141.46001,121.57422,10.25,0.1443661971830986,262,168,7.125,26.6,34,0,0,0,0,6.251974307676108
